feature_set,fold,test_start,test_end,n_train,n_test,train_seconds,accuracy,balanced_accuracy,precision,recall,f1,mcc,auc,brier
ohlc,1,2019-08-08,2020-09-22,333417,87551,2.6,0.7561992438692876,0.7996730283314124,0.7863947414332558,0.7996730283314124,0.6925612408896478,0.093866606407007,0.5,0.6565595079139644
ohlc,2,2020-09-23,2021-11-05,420968,89256,2.5,0.7933136147709958,0.7942187806729852,0.7914314214572514,0.7942187806729852,0.7293484503803174,0.0953030474665976,0.5,0.646562956161632
ohlc,3,2021-11-08,2022-12-22,510224,90289,2.5,0.717008716454939,0.7672489872059558,0.7417772519112864,0.7672489872059558,0.6517092025249626,0.0625780430968916,0.5,0.6576631881864652
ohlc,4,2022-12-23,2024-02-12,600513,90312,2.7,0.7737399238196474,0.763004456221055,0.7685046220429936,0.763004456221055,0.7057033158865088,0.0753798430241494,0.5,0.6538682558035106
ohlc,5,2024-02-13,2025-04-01,690825,90549,2.7,0.7857844923742946,0.766386017433717,0.7850577029419828,0.766386017433717,0.706911766982886,0.0803438831094451,0.5,0.6502099526563395
ohlc,6,2025-04-02,2026-05-19,781374,90556,2.9,0.784464861522152,0.7700586906845912,0.7736919654888575,0.7700586906845912,0.7052234961231294,0.0790438796893181,0.5,0.6458725356990151
finance,1,2020-02-26,2021-03-09,305476,79957,3.7,0.752379403929612,0.8156477032352952,0.7685675003500914,0.8156477032352952,0.7191899125489574,0.0878320418165752,0.5,0.6633994203277572
finance,2,2021-03-10,2022-03-21,385433,81133,4.2,0.7995760048315728,0.8048845963047164,0.7913798325052962,0.8048845963047164,0.7704189875456486,0.0998597733821526,0.5,0.6472980967430522
finance,3,2022-03-22,2023-04-04,466566,82749,4.4,0.7898826571922318,0.7557207119566844,0.7791658089624648,0.7557207119566844,0.7232627449727924,0.0627851628877753,0.5,0.6519790323124477
finance,4,2023-04-05,2024-04-18,549315,82998,4.8,0.7629581435697246,0.7555308209307208,0.7621626504860446,0.7555308209307208,0.746815496079905,0.0663166101339168,0.5,0.660083221126514
finance,5,2024-04-19,2025-05-05,632313,83028,5.2,0.792744616274028,0.7854661904720494,0.7844449064521773,0.7854661904720494,0.7728753244143054,0.0870454394097202,0.5,0.6487370601340616
finance,6,2025-05-06,2026-05-19,715341,83219,5.5,0.807483867866713,0.8015658130307912,0.7953130503807302,0.8015658130307912,0.7694292872335288,0.1001800611214748,0.5,0.6429084506491829
